,Date,wind_speed,FIPS_NAME_x,FPA_ID,FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,date(CONT_DATE),FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_CODE,FIPS_NAME_y,STATE,tmax,tmin,Precip,average
77,2003-02-13,2.9,Imperial,,,,,,,,,,,,,,,,,,,
78,2003-02-14,3.4,Imperial,W-114118,D956,GAS CAN,2003.0,2250.0,7.0,Arson,2003-02-14,0.1,A,32.9498,-115.1505,25.0,Imperial,CA,60.0,51.0,0.49,55.5
79,2003-02-14,1.8,Imperial,W-114118,D956,GAS CAN,2003.0,2250.0,7.0,Arson,2003-02-14,0.1,A,32.9498,-115.1505,25.0,Imperial,CA,60.0,51.0,0.49,55.5
80,2003-02-15,3.8,Imperial,W-114199,D957,CEMENT FLA,2003.0,2300.0,10.0,Fireworks,2003-02-15,0.1,A,32.9789,-115.18,25.0,Imperial,CA,71.0,50.0,0.15,60.5
81,2003-02-15,2.7,Imperial,W-114199,D957,CEMENT FLA,2003.0,2300.0,10.0,Fireworks,2003-02-15,0.1,A,32.9789,-115.18,25.0,Imperial,CA,71.0,50.0,0.15,60.5
82,2003-02-16,3.8,Imperial,W-114200,D958,BIKE,2003.0,1915.0,7.0,Arson,2003-02-16,0.1,A,32.9489,-115.1505,25.0,Imperial,CA,76.0,52.0,0.0,64.0
83,2003-02-17,3.8,Imperial,,,,,,,,,,,,,,,,,,,
84,2003-02-18,6.3,Imperial,,,,,,,,,,,,,,,,,,,
85,2003-02-18,4.7,Imperial,,,,,,,,,,,,,,,,,,,
86,2003-02-19,9.8,Imperial,,,,,,,,,,,,,,,,,,,
87,2003-02-19,16.6,Imperial,,,,,,,,,,,,,,,,,,,
88,2003-02-20,13.2,Imperial,,,,,,,,,,,,,,,,,,,
89,2003-02-20,12.1,Imperial,,,,,,,,,,,,,,,,,,,
90,2003-02-21,6.3,Imperial,,,,,,,,,,,,,,,,,,,
91,2003-02-21,6.5,Imperial,,,,,,,,,,,,,,,,,,,
92,2003-02-22,6.0,Imperial,,,,,,,,,,,,,,,,,,,
93,2003-02-22,4.3,Imperial,,,,,,,,,,,,,,,,,,,
94,2003-02-23,5.6,Imperial,,,,,,,,,,,,,,,,,,,
95,2003-02-24,10.5,Imperial,,,,,,,,,,,,,,,,,,,
96,2003-02-24,9.8,Imperial,,,,,,,,,,,,,,,,,,,
97,2003-02-25,6.0,Imperial,,,,,,,,,,,,,,,,,,,
98,2003-02-25,5.6,Imperial,,,,,,,,,,,,,,,,,,,
99,2003-02-26,13.9,Imperial,,,,,,,,,,,,,,,,,,,
100,2003-02-26,14.8,Imperial,,,,,,,,,,,,,,,,,,,
101,2003-02-27,16.3,Imperial,,,,,,,,,,,,,,,,,,,
102,2003-02-27,15.0,Imperial,,,,,,,,,,,,,,,,,,,
103,2003-02-28,11.4,Imperial,,,,,,,,,,,,,,,,,,,
104,2003-02-28,12.1,Imperial,,,,,,,,,,,,,,,,,,,
105,2003-03-01,9.6,Imperial,,,,,,,,,,,,,,,,,,,
106,2003-03-01,8.1,Imperial,,,,,,,,,,,,,,,,,,,
107,2003-03-02,8.5,Imperial,,,,,,,,,,,,,,,,,,,
108,2003-03-03,9.2,Imperial,,,,,,,,,,,,,,,,,,,
109,2003-03-03,7.8,Imperial,,,,,,,,,,,,,,,,,,,
110,2003-03-04,13.9,Imperial,,,,,,,,,,,,,,,,,,,
111,2003-03-04,13.4,Imperial,,,,,,,,,,,,,,,,,,,
112,2003-03-05,5.6,Imperial,,,,,,,,,,,,,,,,,,,
113,2003-03-05,2.9,Imperial,,,,,,,,,,,,,,,,,,,
114,2003-03-06,4.3,Imperial,,,,,,,,,,,,,,,,,,,
115,2003-03-06,4.9,Imperial,,,,,,,,,,,,,,,,,,,
116,2003-03-07,3.6,Imperial,,,,,,,,,,,,,,,,,,,
117,2003-03-07,3.6,Imperial,,,,,,,,,,,,,,,,,,,
118,2003-03-08,4.5,Imperial,,,,,,,,,,,,,,,,,,,
119,2003-03-08,3.4,Imperial,,,,,,,,,,,,,,,,,,,
120,2003-03-09,4.7,Imperial,,,,,,,,,,,,,,,,,,,
